Introduction to Computers,,,,,,
,Classification of computers,,,,,
,,Microcomputer,,,,
,,Minicomputer,,,,
,,Palm computers,,,,
,,Mainframe computer,,,,
,,Supercomputers,,,,
,Hardware and Software,,,,,
,,Input devices,,,,
,,,Monitor,,,
,,,Mouse,,,
,,,Voice data entry,,,
,,,Light pen,,,
,,,Scanner,,,
,,,Keyboard,,,
,,,Touch screen,,,
,,Output devices,,,,
,,,Monitor,,,
,,,Printer,,,
,,,Plotter,,,
,,Storage devices,,,,
,,,Buffer,,,
,,,Central processing unit,,,
,,,Back-up,,,
,,,File storage devices,,,
,,Operating systems,,,,
,,Utilities and operations software,,,,
,Principles of Data Management,,,,,
,,Setting up files,,,,
,,Modifying files,,,,
,,Storing data,,,,
,,Data coding,,,,
,,Data entry,,,,
,,Data processing and analysis,,,,
,,Databases,,,,
,Software and Programming,,,,,
,,System programmes,,,,
,,Operating systems,,,,
,,Utility programmes,,,,
,,Special purposes programmes,,,,
,,Application programmes,,,,
,,Programming languages,,,,
,Word Processing,,,,,
,,WordPerfect,,,,
,,Word,,,,
,Statistical Programmes,,,,,
,,SPSS,,,,
,,EPIinfo,,,,
,Internet Access,,,,,
,,Medline,,,,
,,Cochrane databases,,,,
,,World Wide Web,,,,
,,Ovid,,,,
,Statistical Tests,,,,,
,,Data entry,,,,
,,Data cleaning,,,,
,Computer Applications in Health Services and Research,,,,,
,,Medical literature search,,,,
,,Medical record keeping and retrieval,,,,
,,Searching for information,,,,
,,Telemedicine,,,,
,,Virtual reality,,,,
,,Security of information,,,,
,,,Levels of access,,,
,,,Confidentiality,,,
Human Anatomy,,,,,,
,Cell and Tissue Structure and Function,,,,,
,,Cell,,,,
,,,Cell theory,,,
,,,Cell structure and organelles,,,
,,,Cell functions and functional specialization,,,
,,,Cell cycle regulation and disorders,,,
,,Supporting Tissue,,,,
,,,Classification,,,
,,,Cell types,,,
,,,"Structure and functions of fibrous tissue, cartilage, bone, and blood",,,
,,,Applied anatomy,,,
,,Propulsion Tissue,,,,
,,,Classification,,,
,,,"Structure, characteristics, regeneration, distribution, and functions",,,
,,Nervous Tissue,,,,
,,,Structural features of neurons and neuroglial cells,,,
,,,Organization of peripheral nerves and ganglia,,,
,,Epithelial Tissue,,,,
,,,Characteristics and structural features,,,
,,,"Classification, distribution, functions, and applied anatomy",,,
,Principles and Concepts of Human Genetics,,,,,
,,Genetic code and chromosomes,,,,
,,Gene expression,,,,
,,Genetic drift and polymorphism,,,,
,,Multifactorial traits and polygenic inheritance patterns,,,,
,,Polymorphism and linkage disequilibrium,,,,
,Development of the Human Embryo,,,,,
,,Reproductive cycles and female reproductive system,,,,
,,"Gametogenesis, gamete viability, and transport",,,,
,,Fertilization,,,,
,,,"Definition, events, and results",,,
,,,"Formation and transport of the morula, blastula",,,
,,,Normal and abnormal implantation,,,
,,Bilaminar germinal disc,,,,
,,Gastrulation and neurulation,,,,
,,Embryonic folding and organogenesis,,,,
,,Placenta and fetal membranes,,,,
,,Umbilical cord and twinning,,,,
,,Teratology and teratogenesis,,,,
,Systemic Anatomy,,,,,
,,Topographic Anatomy,,,,
,,,Lower Limbs,,,
,,,,Bones of the Lower Limb,,
,,,,Joints of the Lower Limb,,
,,,,Muscles of the Lower Limb,,
,,,,Nerves of the Lower Limb,,
,,,,Blood Vessels of the Lower Limb,,
,,,,"Anatomical regions of the Lower Limb: Femoral Triangle, Hunter's Canal, Popliteal Fossa, Tarsal Tunnel",,
,,,,The Lumbar Plexus,,
,,,,Arches of the foot,,
,,,,Mechanism of walking,,
,,,,Evolutionary Features of the Lower Limb,,
,,,Upper Limb,,,
,,,,Bones of the Upper Limb,,
,,,,Joints of the Upper Limb,,
,,,,Muscles of the Upper Limb,,
,,,,Nerves of the Upper Limb,,
,,,,Blood Vessels of the Upper Limb,,
,,,,"Anatomical regions of the Upper Limb: Axilla, Cubital fossa, Anatomical snuffbox, Palmar Spaces",,
,,,,The Brachial plexus,,
,,,,The Breast,,
,,,,Evolutionary Features of the Upper Limb,,
,,,Back,,,
,,,,"Features, articulations, and movements of the vertebrae",,
,,,,Vertebral venous plexi and their communications,,
,,,,Layers of the extensor muscles of the back,,
,,,Head and Neck,,,
,,,,"Skull: features, foramina, and aspects",,
,,,,"Scalp and face: layers, blood vessels, nerves, lymphatics, and applied anatomy",,
,,,,"Cranial fossae, meninges, dural venous sinuses, and hypophysis cerebri",,
,,,,"Orbit: boundaries and contents, optic nerve, and visual pathways",,
,,,,"Nasal cavity: boundaries, nasal conchae, paranasal sinuses, and olfactory pathways",,
,,,,"Ear: external ear, tympanic cavity, and inner ear",,
,,,,Neck: boundaries and contents of triangles,,
,,,,"Fasciae: investing, carotid sheath, pretracheal, and prevertebral",,
,,,,"Pharynx: layers and subdivisions, nerves and vessels",,
,,,,"Larynx: cartilages, muscles, nerves, vessels, and internal features",,
,,,,"Trachea: cartilages, muscles, nerves, and vessels",,
,,,,Thyroid and parathyroid glands,,
,,,,"Oral cavity: tongue, palate, gums, salivary glands, and teeth",,
,,,,"Root of the neck: subclavian vessels, jugular system, and scalene triangle",,
,,,Neuroanatomy,,,
,,,,"Spinal cord: segments, blood supply, internal features, laminae of gray matter, ascending and descending tracks",,
,,,,"Brain: topography, functional areas, cerebral vessels, ventricles, and cerebrospinal fluid",,
,,,,"Cerebellum: features, phylogeny, and connections",,
,,,,"Brainstem: midbrain, pons, medulla, and connections",,
,,,,"Diencephalon, basal ganglia, and limbic system",,
,,,,"Cerebral white matter: association, commissural, and projection fibers",,
,,,,"Peripheral nervous system: cranial and spinal nerves, autonomic nerves",,
,,,Thorax,,,
,,,,"Thoracic cage, intercostal spaces, and pleura divisions and recesses",,
,,,,"Lungs: features, relations, lobes, bronchopulmonary segments, and blood vessels",,
,,,,"Pericardium: layers, relations, and nerve supply",,
,,,,"Heart: surface landmarks, external features, chambers, conducting system, and coronary blood vessels",,
,,,,"Mediastinum: subdivisions, contents, and relations",,
,,,Abdomen,,,
,,,,Surface landmarks,,
,,,,"Peritoneum: folds, mesenteries, cavities, and recesses",,
,,,,"Abdominal organs: features, relations, blood supply, nerves, and lymphatics",,
,,,,"Posterior wall: muscles, aorta, inferior vena cava, thoracic duct, lumbar plexus, and sympathetic chains",,
,,,,"Diaphragm: attachments, openings, nerves, and vessels",,
,,,Pelvis,,,
